subject,session,label,first_image,n_frames,face_detected_mean,face_detected_std,face_detected_min,face_detected_max,face_detected_range,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,roll_mean,roll_std,roll_min,roll_max,roll_range,left_ear_mean,left_ear_std,left_ear_min,left_ear_max,left_ear_range,right_ear_mean,right_ear_std,right_ear_min,right_ear_max,right_ear_range,iris_lx_mean,iris_lx_std,iris_lx_min,iris_lx_max,iris_lx_range,iris_ly_mean,iris_ly_std,iris_ly_min,iris_ly_max,iris_ly_range,iris_rx_mean,iris_rx_std,iris_rx_min,iris_rx_max,iris_rx_range,iris_ry_mean,iris_ry_std,iris_ry_min,iris_ry_max,iris_ry_range,mouth_open_mean,mouth_open_std,mouth_open_min,mouth_open_max,mouth_open_range,left_hand_detected_mean,left_hand_detected_std,left_hand_detected_min,left_hand_detected_max,left_hand_detected_range,left_hand_x_mean,left_hand_x_std,left_hand_x_min,left_hand_x_max,left_hand_x_range,left_hand_y_mean,left_hand_y_std,left_hand_y_min,left_hand_y_max,left_hand_y_range,left_hand_to_face_mean,left_hand_to_face_std,left_hand_to_face_min,left_hand_to_face_max,left_hand_to_face_range,right_hand_detected_mean,right_hand_detected_std,right_hand_detected_min,right_hand_detected_max,right_hand_detected_range,right_hand_x_mean,right_hand_x_std,right_hand_x_min,right_hand_x_max,right_hand_x_range,right_hand_y_mean,right_hand_y_std,right_hand_y_min,right_hand_y_max,right_hand_y_range,right_hand_to_face_mean,right_hand_to_face_std,right_hand_to_face_min,right_hand_to_face_max,right_hand_to_face_range,pose_detected_mean,pose_detected_std,pose_detected_min,pose_detected_max,pose_detected_range,shoulder_angle_mean,shoulder_angle_std,shoulder_angle_min,shoulder_angle_max,shoulder_angle_range
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_3_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-168.20414354710482,1.6512195813808688,-171.2620971656765,-165.40855131821934,5.853545847457156,0.5092588852729357,0.764413887237466,-0.9261529721099948,1.638688957619456,2.564841929729451,6.7437854685839715,0.5814335791328331,5.236002774795088,7.504993010744348,2.2689902359492606,0.19569649682253967,0.012935657698010564,0.1786916513109712,0.2357019056667018,0.057010254355730594,0.19290513417748562,0.013983530864677777,0.1680924902568371,0.221938433808237,0.053845943551399905,0.06327227208117944,0.00964832588674047,0.0449549476764252,0.0765402132489211,0.0315852655724959,0.007741612193779038,0.009126675997894754,-0.0093441852161905,0.0274752366690169,0.0368194218852074,0.016388306928793568,0.008585210542010578,-0.0050458424643541,0.0308704343280207,0.0359162767923748,-0.01046622607704508,0.00989430983526055,-0.0306567614780926,0.0027511336157972,0.0334078950938898,0.00476488673956795,0.0035359685574728513,0.0009387018037471,0.0134637246727217,0.012525022868974599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.933665779893684,0.894169207109205,2.48927891924866,5.895773683416051,3.406494764167391
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_201_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-168.86622157867723,0.9690864909763983,-171.2620971656765,-167.4868260063244,3.775271159352087,0.8695549327783985,0.8890940148400412,-1.4377792870318291,2.4563656982576214,3.8941449852894507,6.956863495857478,0.40118810397184324,6.139904547056618,7.644585131987921,1.504680584931303,0.18911507052097204,0.015452342140565326,0.158557582960602,0.2279839445756446,0.06942636161504262,0.19178015133998583,0.015250703712793828,0.1730023093329153,0.2322539934500534,0.059251684117138104,0.06298246352514886,0.010764240985828302,0.0449549476764252,0.0771806507627076,0.03222570308628239,0.012988600527589367,0.00839183933818975,-0.0105109044279983,0.0274752366690169,0.0379861410970152,0.013585115190833219,0.008254737641188904,0.0003916868776584,0.025342744016588,0.0249510571389296,-0.003899439339617475,0.008514942550367683,-0.0270207253067649,0.0101130524856452,0.0371337777924101,0.0036523890077777,0.0024159746396307056,0.0009387018037471,0.012043193049146,0.0111044912453989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.8798690917869028,0.588617464982674,2.638310817798186,4.882918753750055,2.244607935951869
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_382_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-168.65198645790642,0.6268153629375594,-170.03324315566016,-167.4868260063244,2.5464171493357526,1.100440472190721,0.9147336486876874,-1.4377792870318291,2.4563656982576214,3.8941449852894507,7.058453664375915,0.3481652058913585,6.258021188912374,7.644585131987921,1.3865639430755472,0.1913447053879614,0.020611446479514472,0.158557582960602,0.2279839445756446,0.06942636161504262,0.19201838686012654,0.020996979145007665,0.164438811630019,0.238840346784119,0.0744015351541,0.058654745540017234,0.010159904130037275,0.0407050900586027,0.0771806507627076,0.0364755607041049,0.007883873362690145,0.01193288105264271,-0.019227661507617,0.0250181065841901,0.0442457680918071,0.013328329863122794,0.009662589325153214,-0.0041146250592153,0.0267709388566271,0.0308855639158424,-0.00740760403535325,0.011709832173130751,-0.0362364930364889,0.0101130524856452,0.0463495455221341,0.0037662891859468186,0.002549443374097927,0.0003354176800608,0.0105293697805468,0.010193952100485999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.803601642649356,0.631986052629912,2.867343601574924,5.094373148131083,2.2270295465561594
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_544_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-168.82007132749663,0.7105954288917662,-170.3051942146884,-167.81101125317792,2.4941829615104893,2.429854612169675,1.235531269177368,0.7385651546553164,4.4250277671894125,3.686462612534096,7.349076463160143,0.4522219136038574,6.258021188912374,8.407533098543478,2.149511909631104,0.20155039542285663,0.02431776797672195,0.1612711276929375,0.2567114801060484,0.09544035241311088,0.19314857580767628,0.028879275192281284,0.1451496925723168,0.2519367523481952,0.10678705977587838,0.06985829780345951,0.018312026098514535,0.0407050900586027,0.1142256264642841,0.0735205364056814,0.0012692355065346186,0.01260025506036339,-0.0233626301817537,0.0198839936776639,0.043246623859417604,0.020621362070773794,0.014755560978829184,-0.0041146250592153,0.0604398006903839,0.0645544257495992,-0.014651095804824914,0.013103117499283265,-0.0365328503708525,0.0048325163526733,0.0413653667235258,0.004546295919022625,0.0027196155624609358,0.0002068527887633,0.0105293697805468,0.0103225169917835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.279636341953556,1.1205668759312724,1.2441508733564752,5.094373148131083,3.850222274774608
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_689_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-169.05409587261076,0.7422629327851866,-170.3051942146884,-167.81101125317792,2.4941829615104893,3.330022493404771,0.8080084676565711,1.884649515403377,4.4250277671894125,2.540378251786035,7.69696935340698,0.3542398178833624,7.025445442037222,8.407533098543478,1.3820876565062559,0.18290029345932554,0.036260803785247014,0.1014037115985646,0.2567114801060484,0.1553077685074838,0.1733639396792192,0.03465638039008867,0.1035324424515323,0.2519367523481952,0.14840430989666287,0.08335679688900718,0.013565798881918566,0.0625345612471876,0.1142256264642841,0.05169106521709649,0.0018846729651246933,0.010858816280229246,-0.0233626301817537,0.0198435910168544,0.043206221198608105,0.027505276900246817,0.015283362520984282,0.0026722379287538,0.0604398006903839,0.0577675627616301,-0.013431151546371605,0.011879007471629996,-0.0365328503708525,0.0067492612650387,0.0432821116358912,0.004695463580138169,0.0017197090895855452,0.0002068527887633,0.007492787848563,0.0072859350597997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.961900647569184,0.9890642213997168,1.2441508733564752,4.1572571462987264,2.913106272942251
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_832_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-168.84199195238017,0.6800802566940783,-170.1749571321997,-167.82361635520166,2.351340776998029,3.381103686099414,0.7507329946275593,1.884649515403377,4.549404989650855,2.6647554742474773,8.035896694179154,0.3491560646472358,7.462096233704315,8.56994485495912,1.1078486212548047,0.17931767728916465,0.03392874618221895,0.1014037115985646,0.2275965255073077,0.1261928139087431,0.16736348321859018,0.03236528093497398,0.1035324424515323,0.2297986626798872,0.12626622022835488,0.08172366095028855,0.011080834436886055,0.0625345612471876,0.1118224109891145,0.04928784974192689,0.002667931085458556,0.009067614204134652,-0.0110928547809842,0.0198435910168544,0.0309364457978386,0.03147135893159037,0.011920995967025026,0.0026722379287538,0.0486524890459116,0.045980251117157804,-0.01083903980825936,0.009535033425145624,-0.0253152704381174,0.0067492612650387,0.0320645317031561,0.006217574866178844,0.004588188016771655,0.0029220873556889,0.0234167002962276,0.0204946129405387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.924491278395502,1.0479242324896743,0.7135005690818046,4.283526913243919,3.5700263441621143
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_977_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-169.11444732606094,0.8533104349767965,-171.3937615255449,-167.82361635520166,3.5701451703432383,3.085297704141436,0.7859185432844368,2.041075234725131,4.549404989650855,2.5083297549257235,8.003901951031821,0.4228957109564507,7.027050033178869,8.56994485495912,1.5428948217802514,0.17857239299067007,0.03086166518926155,0.133855652520981,0.2275965255073077,0.09374087298632669,0.1634119611831103,0.03195512290486999,0.1088591403841811,0.2297986626798872,0.12093952229570609,0.07451743782306086,0.011589110321802472,0.0563750314168395,0.0968467276659795,0.04047169624914,0.0019415684481023376,0.00815763202974873,-0.0110928547809842,0.0163369014348148,0.027429756215799,0.030956286357150187,0.009346458216905147,0.0159685795693592,0.0486524890459116,0.032683909476552406,-0.010819847950810832,0.008056620685924599,-0.0253152704381174,0.0064435332132046,0.031758803651322,0.00654208218629475,0.004624833807900225,0.0027326601233106,0.0234167002962276,0.020684040172917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.7566750460578815,1.0759202068133475,0.7135005690818046,4.610213977232865,3.8967134081510606
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_1156_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-169.23974160887082,0.7197028701346599,-171.3937615255449,-168.18987900469543,3.2038825208494757,2.7551259234763577,0.6747816080439172,1.7685638736041598,4.338329267036625,2.5697653934324647,7.862046368228714,0.5002680105227622,7.027050033178869,8.802895013060217,1.7758449798813487,0.16894346569056384,0.03043685052362904,0.133855652520981,0.2360785859759545,0.10222293345497349,0.1494970765642194,0.024884301238268892,0.1169949383407112,0.2003708620313768,0.0833759236906656,0.07799917413720492,0.023552736447705246,0.0563750314168395,0.1323291486001678,0.07595411718332831,-0.0016307121314245877,0.009582482828362167,-0.0184450725969036,0.0159014427045718,0.034346515301475394,0.030521181474358124,0.012231358541285209,0.0114848949379199,0.063562174611677,0.052077279673757096,-0.01086369064263015,0.006756612672351538,-0.0266771602332572,-0.0020960256546839,0.0245811345785733,0.006051999324686875,0.0026320551569268807,0.0027326601233106,0.0142381358324507,0.011505475709140098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.5469336359860857,1.0477921610634726,0.9900027441193272,4.9584796508259785,3.9684769067066514
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_1336_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-169.17201549931883,0.8562819928785658,-170.64625531139166,-167.13097322719256,3.5152820841991,3.457639430860654,0.9475301515085465,1.7685638736041598,5.512587089977104,3.744023216372944,8.01802495653379,0.5815600364722016,6.965789301412388,8.829866148218366,1.864076846805978,0.1934885963576023,0.061207132604519876,0.1022415016887581,0.3315877433828852,0.2293462416941271,0.1627563250949824,0.04476674469973568,0.1037327347468468,0.2555306989869958,0.15179796424014902,0.098919848472841,0.03089173840587491,0.0569844984012453,0.1543102244463046,0.09732572604505929,-0.011893068425612045,0.023983504242789132,-0.0768806081521401,0.0241649143888071,0.1010455225409472,0.043464400563173605,0.025684960430836963,0.006736859757429,0.0858412780152533,0.0791044182578243,-0.0177927861804959,0.016530498464594732,-0.0623511591735494,0.0004005592171344,0.0627517183906838,0.006641962738928701,0.0034812974708460062,0.002553814890325,0.0142381358324507,0.011684320942125698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.3896921476674864,1.5965012024047913,-0.5946523475774881,5.403804258177212,5.998456605754701
P19,Baseline/B1,0,C:\Users\Alex Clare\Downloads\Dataset\P19\Baseline\B1\frame_1480_faceShoulders.jpg,16,1.0,0.0,1.0,1.0,0.0,-169.89686931960375,1.7938190709713875,-172.656412174854,-166.33493178993797,6.321480384916043,3.9002209191616695,0.8949591384947109,2.844739274537925,5.512587089977104,2.667847815439179,7.797376994530802,0.6709984880352631,6.567064826248188,8.829866148218366,2.262801321970178,0.19637060526291322,0.06924820426589066,0.0772584433907408,0.3315877433828852,0.25432929999214443,0.17738582371794756,0.06064514674582532,0.0602439225839259,0.2575289857664868,0.1972850631825609,0.08922746689088698,0.03141165804953099,0.0516005919722744,0.1543102244463046,0.1027096324740302,-0.01120994266776265,0.029479470591076695,-0.0768806081521401,0.0328886064382654,0.10976921459040549,0.041095851597834604,0.027867524946748674,0.002017949464373,0.0858412780152533,0.0838233285508803,-0.023125619936280355,0.024149655970730644,-0.0623511591735494,0.0150211522448349,0.0773723114183843,0.008072167440985161,0.0042437557493602085,0.002553814890325,0.0163678200444933,0.0138140051541683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.825178146585795,1.7244927737640072,-0.5946523475774881,5.403804258177212,5.998456605754701
